inst,fam,seed,it,pos
cap6000,MIPLIB2003,0,1518,0.2075407595
cap6000,MIPLIB2003,0,1533,0.08108996998
cap6000,MIPLIB2003,0,1535,0.09299184679
cap6000,MIPLIB2003,0,1556,0.1267108748
cap6000,MIPLIB2003,0,1574,0.05072333346
cap6000,MIPLIB2003,0,1600,0.03851991878
cap6000,MIPLIB2003,0,1625,0.1213541434
cap6000,MIPLIB2003,0,1627,0.1319966562
cap6000,MIPLIB2003,0,1655,0.1137802218
cap6000,MIPLIB2003,0,1660,0.01528376584
cap6000,MIPLIB2003,0,1677,0.01430820217
cap6000,MIPLIB2003,0,1688,0.09779871507
cap6000,MIPLIB2003,0,1713,0.06388457429
cap6000,MIPLIB2003,0,1729,0.1541508203
cap6000,MIPLIB2003,0,1746,0.1181968646
cap6000,MIPLIB2003,0,1754,0.1311807302
cap6000,MIPLIB2003,0,1757,0.03341151264
cap6000,MIPLIB2003,0,1772,0.01675598011
cap6000,MIPLIB2003,0,1779,0.01267635021
cap6000,MIPLIB2003,0,1782,0.007266406201
cap6000,MIPLIB2003,0,1809,0.03493693948
cap6000,MIPLIB2003,0,1862,0.01576267892
cap6000,MIPLIB2003,0,1893,0.06920583069
cap6000,MIPLIB2003,0,1897,0.07830517913
cap6000,MIPLIB2003,0,1920,0.1976254851
cap6000,MIPLIB2003,0,1935,0.03367757546
cap6000,MIPLIB2003,0,1938,0.1053726367
cap6000,MIPLIB2003,0,1944,0.02362040087
cap6000,MIPLIB2003,0,1978,0.1560664726
cap6000,MIPLIB2003,0,1995,0.049925145
cvs16r106-72,MIPLIB2017,0,1,0.8846153846
cvs16r106-72,MIPLIB2017,0,4,0.3461538462
cvs16r106-72,MIPLIB2017,0,47,0.01923076923
cvs16r106-72,MIPLIB2017,0,120,0.01923076923
cvs16r106-72,MIPLIB2017,0,206,0.01923076923
cvs16r106-72,MIPLIB2017,0,246,0.09615384615
cvs16r106-72,MIPLIB2017,0,538,0.01923076923
cvs16r106-72,MIPLIB2017,0,614,0.03846153846
cvs16r106-72,MIPLIB2017,0,627,0.03846153846
cvs16r106-72,MIPLIB2017,0,770,0.01923076923
cvs16r106-72,MIPLIB2017,0,853,0.03846153846
cvs16r106-72,MIPLIB2017,0,924,0.01923076923
cvs16r106-72,MIPLIB2017,0,954,0.01923076923
cvs16r106-72,MIPLIB2017,0,1041,0.01923076923
cvs16r106-72,MIPLIB2017,0,1412,0.01923076923
cvs16r106-72,MIPLIB2017,0,1429,0.03846153846
cvs16r106-72,MIPLIB2017,0,1430,0.01923076923
cvs16r106-72,MIPLIB2017,0,1657,0.03846153846
cvs16r106-72,MIPLIB2017,0,1667,0.01923076923
cvs16r106-72,MIPLIB2017,0,1720,0.01923076923
cvs16r106-72,MIPLIB2017,0,1844,0.01923076923
cvs16r106-72,MIPLIB2017,0,1915,0.01923076923
glass-sc,MIPLIB2017,0,5,0.1725623637
glass-sc,MIPLIB2017,0,13,0.2907677403
glass-sc,MIPLIB2017,0,16,0.1725623637
glass-sc,MIPLIB2017,0,25,0.2907677403
glass-sc,MIPLIB2017,0,63,0.1725623637
glass-sc,MIPLIB2017,0,71,0.1725623637
glass-sc,MIPLIB2017,0,92,0.7635892468
glass-sc,MIPLIB2017,0,93,0.05435698712
glass-sc,MIPLIB2017,0,104,0.2907677403
glass-sc,MIPLIB2017,0,115,0.1725623637
glass-sc,MIPLIB2017,0,118,0.05435698712
glass-sc,MIPLIB2017,0,149,0.2907677403
